190.184.216.0/24,BR,BR-RS,Caxias do Sul,
190.184.217.0/24,BR,BR-RS,Caxias do Sul,
190.184.218.0/24,BR,BR-RS,Caxias do Sul,
190.184.219.0/24,BR,BR-RS,Caxias do Sul,
2804:741c::/41,BR,BR-RS,Caxias do Sul,
2804:741c:80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:100::/41,BR,BR-RS,Caxias do Sul,
2804:741c:180::/41,BR,BR-RS,Caxias do Sul,
2804:741c:200::/41,BR,BR-RS,Caxias do Sul,
2804:741c:280::/41,BR,BR-RS,Caxias do Sul,
2804:741c:300::/41,BR,BR-RS,Caxias do Sul,
2804:741c:380::/41,BR,BR-RS,Caxias do Sul,
2804:741c:400::/41,BR,BR-RS,Caxias do Sul,
2804:741c:480::/41,BR,BR-RS,Caxias do Sul,
2804:741c:500::/41,BR,BR-RS,Caxias do Sul,
2804:741c:580::/41,BR,BR-RS,Caxias do Sul,
2804:741c:600::/41,BR,BR-RS,Caxias do Sul,
2804:741c:680::/41,BR,BR-RS,Caxias do Sul,
2804:741c:700::/41,BR,BR-RS,Caxias do Sul,
2804:741c:780::/41,BR,BR-RS,Caxias do Sul,
2804:741c:800::/41,BR,BR-RS,Caxias do Sul,
2804:741c:880::/41,BR,BR-RS,Caxias do Sul,
2804:741c:900::/41,BR,BR-RS,Caxias do Sul,
2804:741c:980::/41,BR,BR-RS,Caxias do Sul,
2804:741c:a00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:a80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:b00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:b80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:c00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:c80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:d00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:d80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:e00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:e80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:f00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:f80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1000::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1080::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1100::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1180::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1200::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1280::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1300::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1380::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1400::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1480::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1500::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1580::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1600::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1680::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1700::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1780::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1800::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1880::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1900::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1980::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1a00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1a80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1b00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1b80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1c00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1c80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1d00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1d80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1e00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1e80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1f00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:1f80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2000::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2080::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2100::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2180::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2200::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2280::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2300::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2380::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2400::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2480::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2500::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2580::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2600::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2680::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2700::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2780::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2800::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2880::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2900::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2980::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2a00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2a80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2b00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2b80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2c00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2c80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2d00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2d80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2e00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2e80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2f00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:2f80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3000::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3080::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3100::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3180::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3200::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3280::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3300::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3380::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3400::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3480::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3500::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3580::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3600::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3680::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3700::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3780::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3800::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3880::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3900::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3980::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3a00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3a80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3b00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3b80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3c00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3c80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3d00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3d80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3e00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3e80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3f00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:3f80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4000::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4080::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4100::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4180::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4200::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4280::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4300::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4380::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4400::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4480::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4500::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4580::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4600::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4680::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4700::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4780::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4800::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4880::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4900::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4980::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4a00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4a80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4b00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4b80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4c00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4c80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4d00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4d80::/41,BR,BR-RS,Caxias do Sul,
